Period of QPP detected from IMF in minutes,Damping of the QPP detected from IMF in minutes,Type of CCD/Detector
0.495915502946178, 0.36901991835373404, solar
0.3928161328529671, 0.39600543769774493, solar
0.35723351959709604, 0.4212317252252619, solar
0.34214331584331503, 0.43252909413802887, solar
0.3681909437748645, 0.5069683449892585, solar
0.34510947932112507, 0.5710905592242232, solar
0.32069474706061607, 0.7311132830198089, solar
0.37622285378663267, 0.5736152510448681, solar
0.515557861158231, 0.4745098266973183, solar
0.47702150348335204, 0.6237623495477578, solar
0.4172834066691082, 0.712017095995074, solar
0.43568765815707894, 0.8056200536073036, solar
0.34510947932112507, 1.2522791489367793, solar
0.468856887215585, 0.9442691157721663, solar
0.7095517368811386, 0.6782934519342227, solar
0.5693626064533798, 0.8955859664312605, solar
0.6048264014141145, 0.9155579198364209, solar
0.6650707590901, 0.9277542450502096, solar
0.6708364967340176, 1.0731275413652426, solar
0.5406248073001672, 1.540775853070319, solar
0.5767826442192083, 1.5339943315075495, solar
0.7537474691360743, 1.3438552442014842, solar
0.7219077837084906, 1.3921247700084483, solar
0.8288252633954418, 1.332051674434031, solar
0.9433989915846112, 1.349796194000715, solar
0.7701901110479856, 2.0981623055342413, solar
0.8542478216999295, 1.6031746717720683, solar
0.8804501661659752, 1.5682030668618232, solar
1.14069525366564, 1.487352107293513, solar
1.1505843511404643, 1.4106695349712455, solar
1.0152206662627399, 2.016497561439226, solar
1.8180523023947157, 1.3677770917655538, solar
1.704080706128562, 1.6461715654389149, solar
2.069373104894049, 1.904116369296947, solar
1.4906762003387162, 2.070579710287561, solar
1.471499351288224, 2.5363813980392433, solar
1.2761578752372875, 2.9860411299932705, solar
0.9935469137210244, 4.850916005351251, solar
1.763946761257647, 3.378591088261502, solar
1.7639467612576452, 3.7891697478169353, solar
2.1145154932126653, 3.9600543769774474, solar
2.3251339903329615, 3.9252717779413944, solar
